X坐標,Y坐標,原地址,結果地址,說明
264761.920,2517968.399,台東市傳廣路225號,臺東縣臺東市民生里2鄰傳廣路225號,[臺東縣]	 { 完全比對 } 找到符合的門牌地址
185016.133,2646010.894,彰化縣芳苑鄉三合村埤北路37號,彰化縣芳苑鄉三合村3鄰埤北路47號,[彰化縣]	 { 模糊比對 } (芳苑鄉)	找到符合的[鄉鎮市區]，(三合村)	找到符合的[村里]，(埤北路)	找到符合的[路街名]，(37號)	進行[單號過濾]，進行[找大於且最接近的門牌號碼]，找到大於輸入的門牌號碼 +10 號，模糊比對找到 1 筆符合的門牌地址。
270975.020,2761053.840,桃園市平鎮區民族路2段29號,桃園市平鎮區廣達里1鄰民族路二段29號,[桃園市]	 { 完全比對 } 找到符合的門牌地址
300205.055,2766020.258,中和區連城路72號,新北市中和區連和里20鄰連城路72號,[新北市]	 { 完全比對 } 找到符合的門牌地址
280076.025,2760348.891,桃園市八德區介壽路2段260號,桃園市八德區大昌里18鄰介壽路二段260號,[桃園市]	 { 完全比對 } 找到符合的門牌地址
215644.923,2669293.329,台中市南區美村路二段88號,臺中市南區福平里30鄰美村路二段88號,[臺中市]	 { 完全比對 } 找到符合的門牌地址
326533.532,2739059.370,宜蘭市大東里新民路六十八號,宜蘭縣宜蘭市大新里5鄰新民路68號,[宜蘭縣]	 { 模糊比對 } (宜蘭市)	找到符合的[鄉鎮市區]，(大東里)	找不到符合的[村里]，進行轉換搜尋[村變成里，里變成村]，轉換搜尋找不到進行[忽略村里]，(新民路)	找到符合的[路街名]，(68號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
305213.007,2770905.543,台北市市民大道四段77號,臺北市松山區福成里8鄰市民大道四段77號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
295172.190,2764783.883,土城區中華路1段22號,新北市土城區貨饒里1鄰中華路一段22號,[新北市]	 { 完全比對 } 找到符合的門牌地址
195876.490,2594581.080,嘉義縣中埔鄉和美村仁義路155號,嘉義縣中埔鄉和美村8鄰仁義路155號,[嘉義縣]	 { 完全比對 } 找到符合的門牌地址
178344.246,2607867.580,雲林縣北港鎮大同路319號,雲林縣北港鎮光復里13鄰大同路319號,[雲林縣]	 { 完全比對 } 找到符合的門牌地址
198451.470,2507790.340,屏東市廣東路29號,屏東縣屏東市橋北里7鄰廣東路29號,[屏東縣]	 { 完全比對 } 找到符合的門牌地址
304589.398,2763544.510,新店區民族路三二號,新北市新店區明德里15鄰民族路32號,[新北市]	 { 完全比對 } 找到符合的門牌地址
180348.331,2508494.083,高雄市三民區鼎中路753之37號,高雄市三民區鼎盛里25鄰鼎中路753之37號,[高雄市]	 { 完全比對 } 找到符合的門牌地址
269989.590,2772710.420,桃園市大園區中山南路75巷14號,桃園市大園區大園里5鄰中山南路75巷14號,[桃園市]	 { 完全比對 } 找到符合的門牌地址
217598.227,2672870.699,台中市北區學士路240號,臺中市北區建興里28鄰學士路238號,[臺中市]	 { 模糊比對 } (北區)	找到符合的[鄉鎮市區]，(學士路)	找到符合的[路街名]，(240號)	進行[雙號過濾]，進行[找大於且最接近的門牌號碼]，找到大於輸入的門牌號碼 +2 號，進行[找小於且最接近的門牌號碼]，找到小於輸入的門牌號碼 -2 號，模糊比對找到 2 筆符合的門牌地址。( 限制回傳 1 筆門牌地址 )
310647.270,2775296.658,臺北市內湖區成功路五段十號一樓,臺北市內湖區秀湖里20鄰成功路五段10號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
272922.371,2762014.055,中壢市環北路447號,桃園市中壢區水尾里21鄰環北路447號,[桃園市]	 { 模糊比對 } (中壢市)	找不到符合的[鄉鎮市區]，進行轉換搜尋[鄉變成鎮]，進行轉換搜尋[鎮變成市]，進行轉換搜尋[市變成區]，轉換搜尋找到符合的[鄉鎮市區]，(環北路)	找到符合的[路街名]，(447號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
273051.739,2760701.652,中壢市新興路245號,桃園市中壢區東興里1鄰新興路245號,[桃園市]	 { 模糊比對 } (中壢市)	找不到符合的[鄉鎮市區]，進行轉換搜尋[鄉變成鎮]，進行轉換搜尋[鎮變成市]，進行轉換搜尋[市變成區]，轉換搜尋找到符合的[鄉鎮市區]，(新興路)	找到符合的[路街名]，(245號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
303195.440,2778286.312,臺北市士東路三十九號一樓,臺北市士林區天祿里8鄰士東路39號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
264460.227,2517870.745,台東市開封街575號,臺東縣臺東市自強里3鄰開封街575號,[臺東縣]	 { 完全比對 } 找到符合的門牌地址
321822.393,2781511.253,基市基金一路118號,基隆市安樂區武崙里1鄰基金一路118號,[基隆市]	 { 模糊比對 } (基金一路)	找到符合的[路街名]，(118號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
193309.490,2485416.050,屏東縣東港鎮中山路88之3號,屏東縣東港鎮頂中里3鄰中山路88之3號,[屏東縣]	 { 完全比對 } 找到符合的門牌地址
325928.378,2780139.518,基隆市仁一路117號,基隆市仁愛區花崗里6鄰仁一路117號,[基隆市]	 { 完全比對 } 找到符合的門牌地址
191740.613,2596616.291,嘉義市中興路716號,嘉義市西區西平里15鄰中興路716號,[嘉義市]	 { 完全比對 } 找到符合的門牌地址
177731.100,2552752.250,台南市新市區忠孝街168號,臺南市新市區新和里27鄰忠孝街168號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
167643.910,2545867.060,臺南市北區文成路745號,臺南市北區文元里28鄰文成路745號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
169953.650,2550990.190,臺南市安和路四段374之5號,臺南市安南區州南里1鄰安和路四段374之5號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
220844.062,2688873.504,台中市后里區福音路42-1號,臺中市后里區墩北里3鄰福音路42之1號,[臺中市]	 { 模糊比對 } (后里區)	找到符合的[鄉鎮市區]，(福音路)	找到符合的[路街名]，(42-1號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
305319.828,2774874.249,台北市北安路571之2號,臺北市中山區大直里27鄰北安路571之2號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
328660.960,2781018.304,基隆市信義區深美街91號,基隆市信義區孝忠里34鄰深美街91號,[基隆市]	 { 完全比對 } 找到符合的門牌地址
217084.160,2673540.455,台中市漢口路四段七八號,臺中市北區賴厝里20鄰漢口路四段78號,[臺中市]	 { 完全比對 } 找到符合的門牌地址
167896.760,2543397.750,臺南市府前路一段361號,臺南市中西區小西里13鄰府前路一段361號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
,,新北市板橋區中國光路77號1樓及57號B1,,查無符合門牌地址
173692.770,2600383.810,嘉義縣六腳鄉六南村六腳200之2號,嘉義縣六腳鄉六南村3鄰六腳200號之3,[嘉義縣]	 { 模糊比對 } (六腳鄉)	找到符合的[鄉鎮市區]，(六南村)	找到符合的[村里]，(六腳)	找到符合的[地區]，(200之2號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
296286.731,2767458.702,新北市板橋區民權路二三二號,新北市板橋區民安里17鄰民權路232號,[新北市]	 { 完全比對 } 找到符合的門牌地址
303008.453,2768428.169,臺北市羅斯福路三段三八號一樓,臺北市中正區頂東里5鄰羅斯福路三段38號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
,,台中市太平區宜欣里宜昌路217號,,查無符合門牌地址
297018.429,2768018.683,新北市板橋區文化路1段182號1樓,新北市板橋區新民里7鄰文化路一段182號,[新北市]	 { 完全比對 } 找到符合的門牌地址
298056.766,2767746.737,板橋區中山路二段一八一號,新北市板橋區西安里10鄰中山路二段181號,[新北市]	 { 完全比對 } 找到符合的門牌地址
297098.337,2766781.887,板橋區民族路101號,新北市板橋區民族里1鄰民族路101號,[新北市]	 { 完全比對 } 找到符合的門牌地址
297284.105,2768557.755,板橋區文化路2段11號1樓及2樓,新北市板橋區聯翠里4鄰文化路二段11號,[新北市]	 { 完全比對 } 找到符合的門牌地址
170556.870,2542769.500,臺南市東門路二段227號,臺南市東區富裕里2鄰東門路二段227號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
300321.981,2766650.684,新北市中和區福祥路一二九號,新北市中和區福美里5鄰福祥路129號,[新北市]	 { 完全比對 } 找到符合的門牌地址
246926.970,2652167.130,埔里鎮西安路一段三三八號,南投縣埔里鎮北梅里11鄰西安路一段338號,[南投縣]	 { 完全比對 } 找到符合的門牌地址
182401.911,2504491.095,高雄市三民區覺民路74號,高雄市三民區寶業里6鄰覺民路74號,[高雄市]	 { 完全比對 } 找到符合的門牌地址
184004.401,2632965.555,雲林縣崙背鄉水尾村28號,雲林縣崙背鄉水尾村13鄰新生28號,[雲林縣]	 { 模糊比對 } (崙背鄉)	找到符合的[鄉鎮市區]，(水尾村)	找到符合的[村里]，(28號)	找到符合的[門牌號碼]，進行[雙號過濾]，模糊比對找到 3 筆符合的門牌地址。( 限制回傳 1 筆門牌地址 )
176924.610,2521388.820,高雄市岡山區中華路13-5號,高雄市岡山區仁壽里15鄰中華路13之5號,[高雄市]	 { 模糊比對 } (岡山區)	找到符合的[鄉鎮市區]，(中華路)	找到符合的[路街名]，(13-5號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
281278.949,2766030.283,桃園市民生路610號,桃園市桃園區朝陽里14鄰民生路610號,[桃園市]	 { 完全比對 } 找到符合的門牌地址
306972.386,2771295.639,臺北市松山區八德路4段214-1、218號1樓,臺北市松山區復盛里26鄰八德路四段214號,[臺北市]	 { 模糊比對 } (松山區)	找到符合的[鄉鎮市區]，(八德路)	找到符合的[路街名]，(4段)	找到符合的[路段]，(214-1218號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
203210.580,2494220.000,屏東縣潮州鎮朝昇東路339號,屏東縣潮州鎮光華里31鄰朝昇東路339號,[屏東縣]	 { 完全比對 } 找到符合的門牌地址
197174.800,2649880.990,彰化縣溪湖鎮東環路車頭巷16號,彰化縣溪湖鎮大竹里12鄰東環路2號,[彰化縣]	 { 模糊比對 } (溪湖鎮)	找到符合的[鄉鎮市區]，(東環路)	找到符合的[路街名]，(車頭巷)	找不到符合的[巷]，(車頭巷)	找不到符合的[地區]，進行轉換搜尋[路或街變成地區名]，轉換搜尋找不到符合的[地區]，(16號)	進行[雙號過濾]，進行[找大於且最接近的門牌號碼]，找到大於輸入的門牌號碼 +84 號，進行[找小於且最接近的門牌號碼]，找到小於輸入的門牌號碼 -14 號，模糊比對找到 2 筆符合的門牌地址。( 限制回傳 1 筆門牌地址 )
217079.550,2666431.100,大里區新里里新興路137號,臺中市大里區新里里21鄰新興路137號,[臺中市]	 { 完全比對 } 找到符合的門牌地址
204487.070,2623169.680,雲林縣斗六市文化路344號,雲林縣斗六市鎮東里18鄰文化路344號,[雲林縣]	 { 完全比對 } 找到符合的門牌地址
296268.078,2767495.347,新北市板橋區民權路250號,新北市板橋區民安里17鄰民權路250號,[新北市]	 { 完全比對 } 找到符合的門牌地址
203561.840,2622619.920,雲林縣斗六市中正路133號1樓,雲林縣斗六市公正里28鄰中正路133號,[雲林縣]	 { 完全比對 } 找到符合的門牌地址
